Record_ID,Date_Time,State,Sector,Consumption_MWh,Peak_Demand_MW,Generation_MWh,Electricity_Price_USD_per_MWh,Renewable_Share_Pct,Weather_Index,Peak_Flag
103461,2024-05-24 04:00:00,California,Industrial,981.86,1139.91,1128.04,51.6,23.41,40.42,No
103959,2024-06-13 22:00:00,Texas,Industrial,1040.52,972.13,1047.89,52.96,27.82,67.81,No
100066,2024-01-03 17:00:00,Florida,Residential,920.08,895.03,969.66,58.09,35.91,45.49,No
102520,2024-04-14 23:00:00,Texas ,Residential,686.13,758.59,699,50.12,37.1,33.45,No
100394,2024-01-17 09:00:00,California,Residential,1507.38,1745.83,1596.02,65.08,19.39,59.06,Yes
100180,2024-01-08 11:00:00,Texas,Industrial,1711.72,1566.73,1921.72,66.58,38.3,73.72,Yes
102687,2024-04-21 22:00:00,Texas,Residential,739.22,765.4,756.27,60.36,21.79,52.85,No
101670,2024-03-10 13:00:00,California,Residential,853.05,935.2,926.54,43.73,59.24,48.07,No
100334,2024-01-14 21:00:00,Texas,Commercial,1117.37,1023.01,1024.52,74.83,9.82,42.16,No
101210,2024-02-20 09:00:00,New York,Residential,901.33,825.56,995.8,45.3,17.04,82.8,No
102650,2024-04-20 09:00:00,New York,Industrial,1098.79,1059.7,1226.08,43.13,24.41,75.02,No
100927,2024-02-08 14:00:00,California,Residential,927.21,980.15,943.25,55.09,44.18,24.34,No
103439,2024-05-23 06:00:00,New York,Residential,792.9,852.79,857.46,55.09,17.77,61.8,No
101150,2024-02-17 21:00:00,California,Industrial,1259.49,1324.37,1407.95,63.9,44.46,59.34,No
100280,2024-01-12 15:00:00,California,Commercial,1086.08,1086.5,1090.35,50.03,37.99,23.68,No
104449,2024-07-04 08:00:00,California,Residential,1059.81,1095.98,1172.63,50.13,42.59,37.82,No
103576,2024-05-28 23:00:00,New York,Residential,665.9,752.75,762.88,61.65,27.31,47.61,No
101984,2024-03-23 15:00:00,New York,Commercial ,879.18,1010.1,953.12,53.18,33.66,51.77,No
104297,2024-06-28 00:00:00,Texas,Commercial ,818.2,957.84,937.97,50.18,24.41,61.61,No
104293,2024-06-27 20:00:00,Florida,Industrial,1316.96,1456.04,1380.88,56.97,16.04,36.05,Yes
101048,2024-02-13 15:00:00,Texas,Industrial,1637.01,1894.96,1673.39,68.26,31.52,51.7,Yes
101469,2024-03-02 04:00:00,California,Industrial,955.95,779.03,856.85,36.77,40.56,42.84,No
100473,2024-01-20 16:00:00,Texas,Residential,1061.22,1224.39,1127.58,57.75,24.92,60.4,No
100034,2024-01-02 09:00:00,New York,Industrial,1284.41,1442.14,1425.17,66.07,31.02,38.2,Yes
101593,2024-03-07 08:00:00,Texas,Commercial,1284.38,1244.3,1346.16,48.12,44.5,46.81,No
102749,2024-04-24 12:00:00,California,Commercial,1078.91,1054.4,1113.04,58.48,20.5,49.43,No
102537,2024-04-15 16:00:00,Texas ,Commercial ,1213.92,1097.28,1270.55,66.36,23.82,105.92,No
100080,2024-01-04 07:00:00,Texas,Commercial,1200.98,1369.24,1217.28,52.88,24.95,68.15,Yes
102597,2024-04-18 04:00:00,California,Residential,557.68,566.23,630.9,44.57,25.51,47.81,No
